,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
563,,0.1,0.5,True,0.1,4,-0.1682300884955754,113,80.98999999999998
564,,0.1,0.5,True,0.1,5,-0.16336283185840728,113,81.53999999999998
565,,0.1,0.5,True,0.1,6,-0.11261194029850749,134,84.91
566,,0.1,0.5,True,0.1,7,-0.1256617647058824,136,82.91
567,,0.1,0.5,True,0.1,8,-0.127925925925926,135,82.72999999999999
568,,0.1,0.5,True,0.1,9,-0.127925925925926,135,82.72999999999999
569,,0.1,0.5,True,0.1,10,0.024511784511784755,297,107.28000000000007
570,,0.1,0.5,True,0.2,1,-0.061538461538461466,1066,34.40000000000008
571,,0.1,0.5,True,0.2,2,-0.06361788617886158,246,84.35000000000005
572,,0.1,0.5,True,0.2,3,-0.13837573385518595,511,29.289999999999978
573,,0.1,0.5,True,0.2,4,-0.09534965034965019,286,72.73000000000005
574,,0.1,0.5,True,0.2,5,-0.05615702479338821,242,86.41000000000005
575,,0.1,0.5,True,0.2,6,-0.08638596491228052,285,75.38000000000005
576,,0.1,0.5,True,0.2,7,-0.09903114186851193,289,71.38000000000005
577,,0.1,0.5,True,0.2,8,-0.10817241379310327,290,68.63000000000005
578,,0.1,0.5,True,0.2,9,-0.10508650519031124,289,69.63000000000005
579,,0.1,0.5,True,0.2,10,-0.10774744027303737,293,68.43000000000005
580,,0.1,0.5,True,0.3,1,-0.3648099606815203,1526,-456.69999999999993
581,,0.1,0.5,True,0.3,2,-0.4177181208053692,447,-86.72000000000001
582,,0.1,0.5,True,0.3,3,-0.4214246575342466,1095,-361.46000000000004
583,,0.1,0.5,True,0.3,4,-0.41617816091954024,1392,-479.32000000000005
584,,0.1,0.5,True,0.3,5,-0.40425850340136044,735,-197.12999999999994
585,,0.1,0.5,True,0.3,6,-0.404556862745098,1275,-415.8099999999999
586,,0.1,0.5,True,0.3,7,-0.38875000000000004,344,-33.73000000000003
587,,0.1,0.5,True,0.3,8,-0.38666666666666677,420,-62.40000000000002
588,,0.1,0.5,True,0.3,9,-0.4313163265306123,980,-322.69000000000005
589,,0.1,0.5,True,0.3,10,-0.42610766045548654,966,-311.62
590,,0.1,0.5,True,0.4,1,-0.5274104156712852,2093,-1003.8699999999999
591,,0.1,0.5,True,0.4,2,-0.5031660899653978,578,-190.82999999999996
592,,0.1,0.5,True,0.4,3,-0.5203616438356164,1825,-849.66
593,,0.1,0.5,True,0.4,4,-0.5031660899653978,578,-190.82999999999996
594,,0.1,0.5,True,0.4,5,-0.5139814814814814,540,-177.54999999999995
595,,0.1,0.5,True,0.4,6,-0.5138786764705882,544,-179.54999999999995
596,,0.1,0.5,True,0.4,7,-0.5145620437956203,548,-181.97999999999996
597,,0.1,0.5,True,0.4,8,-0.5072384615384614,1300,-559.4099999999999
598,,0.1,0.5,True,0.4,9,-0.5145475819032761,1282,-559.65
599,,0.1,0.5,True,0.4,10,-0.514403815580286,1258,-547.1199999999999
600,,0.1,0.5,False,0.1,1,-0.09237547892720313,522,51.779999999999966
601,,0.1,0.5,False,0.1,2,-0.18672566371681437,113,78.89999999999998
602,,0.1,0.5,False,0.1,3,-0.15244755244755243,143,78.2
603,,0.1,0.5,False,0.1,4,-0.12248120300751884,133,83.71
604,,0.1,0.5,False,0.1,5,-0.11261194029850749,134,84.91
605,,0.1,0.5,False,0.1,6,-0.16336283185840728,113,81.53999999999998
606,,0.1,0.5,False,0.1,7,-0.1256617647058824,136,82.91
607,,0.1,0.5,False,0.1,8,-0.127925925925926,135,82.72999999999999
608,,0.1,0.5,False,0.1,9,-0.20600000000000024,110,77.33999999999997
609,,0.1,0.5,False,0.1,10,-0.22440366972477085,109,75.53999999999998
610,,0.1,0.5,False,0.2,1,-0.06514719848053174,1053,31.400000000000077
611,,0.1,0.5,False,0.2,2,-0.0935434173669466,714,33.21000000000012
612,,0.1,0.5,False,0.2,3,-0.0638934426229506,244,84.41000000000005
613,,0.1,0.5,False,0.2,4,-0.1153094462540717,921,-6.200000000000038
614,,0.1,0.5,False,0.2,5,-0.0895804195804194,286,74.38000000000005
615,,0.1,0.5,False,0.2,6,-0.11324503311258265,302,65.80000000000004
616,,0.1,0.5,False,0.2,7,-0.11576751117734713,671,22.32000000000007
617,,0.1,0.5,False,0.2,8,-0.10656357388316133,291,68.99000000000005
618,,0.1,0.5,False,0.2,9,-0.09647359454855178,587,43.370000000000104
619,,0.1,0.5,False,0.2,10,-0.10628865979381426,291,69.07000000000005
620,,0.1,0.5,False,0.3,1,-0.3771997471554993,1582,-496.7299999999999
621,,0.1,0.5,False,0.3,2,-0.41008928571428577,448,-83.72000000000001
622,,0.1,0.5,False,0.3,3,-0.41008928571428577,448,-83.72000000000001
623,,0.1,0.5,False,0.3,4,-0.38225419664268595,417,-59.40000000000002
624,,0.1,0.5,False,0.3,5,-0.38225419664268595,417,-59.40000000000002
625,,0.1,0.5,False,0.3,6,-0.3918413597733711,706,-176.64
626,,0.1,0.5,False,0.3,7,-0.3895734597156399,422,-64.40000000000002
627,,0.1,0.5,False,0.3,8,-0.38666666666666677,420,-62.40000000000002
628,,0.1,0.5,False,0.3,9,-0.40742424242424236,1188,-384.0199999999999
